smartphoneName,smartphonePrice,smartphoneLink,smartphoneImg,smartphoneBrand,smartphonePage
"Infinix SMART 6 HD - 6.6"" - 4G/DS - 2/32 GB - X6512 - ORIGIN Blue",369.00 TND,/infinix-smart-6-hd-6.6-4gds-232-gb-x6512-origin-blue-716096.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/0617/1.jpg?9966,Infinix,1
"Infinix Hot 20i - 6,6"" HD+ IPS - 4GO - 128GO  + Anticasse - Luna Blue - Garantie 1 an",479.00 TND,/infinix-hot-20i-66-hd-ips-4go-128go-anticasse-luna-blue-garantie-1-an-703310.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/3307/1.jpg?3165,Infinix,1
"Infinix Smart 6 HD - 6.6"" - 2 Go - 32 Go et Pochette + Anticasse - Akua sky - Garantie 1 an",359.00 TND,/smart-6-hd-6.6-2-go-32-go-et-pochette-anticasse-akua-sky-garantie-1-an-infinix-mpg33906.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/6956/1.jpg?2445,Infinix,1
"XIAOMI Redmi 12C - 6.71"" - 3Go - 128 Go - Grey - Garantie 1 an",499.00 TND,/xiaomi-redmi-12c-6.71-3go-128-go-grey-garantie-1-an-728092.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/0827/1.jpg?4854,XIAOMI,1
"Samsung Galaxy A03 Core 6,5"" HD+ 2- 32 Go - Bronze - Garantie 1 an",398.90 TND,/samsung-galaxy-a03-core-65-hd-2-32-go-bronze-garantie-1-an-717733.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/7717/1.jpg?8167,Samsung,1
"Smart M30 - 6.3""- 2Go-32Go - Bleu Foncé - Garantie 1 an",292.90 TND,/smart-m30-6.3-2go-32go-bleu-fonce-garantie-1-an-724828.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/8427/1.jpg?6969,Smart,1
"Infinix Hot 20S -6.78""- 8Go -128Go - Noir - Garantie 1an",679.00 TND,/infinix-hot-20s-6.78-8go-128go-noir-garantie-1an-700228.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/2007/1.jpg?2275,Infinix,1
XIAOMI Redmi A1+ - 2Go Ram - 32Go Rom -  Blue - Garantie 1 an,345.00 TND,/xiaomi-redmi-a1-2go-ram-32go-rom-blue-garantie-1-an-743266.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/2347/1.jpg?3550,XIAOMI,1
"Infinix Hot 20i - 6,6"" HD+ IPS - 4GO - 128GO  Sunset Gold + Anticasse Gratuite - Garantie 1 an",479.00 TND,/infinix-hot-20i-66-hd-ips-4go-128go-sunset-gold-anticasse-gratuite-garantie-1-an-703311.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/3307/1.jpg?0070,Infinix,1
XIAOMI Redmi Note 11 - 6G - 128G - Gris - Garantie 1 an,839.00 TND,/xiaomi-redmi-note-11-6g-128g-gris-garantie-1-an-659706.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/7956/1.jpg?8311,XIAOMI,1
